calendar_date,site,value,age,scale
2007-07-28,limestone,0.512,2929.4387405886378,1
2007-07-28,sand,0.5358,2929.4387405886378,1
2007-07-28,invasion,0.7577,2929.4387405886378,1
2007-07-28,sandstone,0.654,2929.4387405886378,1
2007-07-28,grass,0.6635,2929.4387405886378,1
2007-07-28,renosterveld,0.6215,2929.4387405886378,1
2007-08-13,limestone,0.5426,2929.4825462012323,1
2007-08-13,sand,0.5733,2929.4825462012323,1
2007-08-13,invasion,0.7904,2929.4825462012323,1
2007-08-13,sandstone,0.7075,2929.4825462012323,1
2007-08-13,grass,0.6142000000000001,2929.4825462012323,1
2007-08-13,renosterveld,0.606,2929.4825462012323,1
2007-08-29,limestone,0.5277000000000001,2929.5263518138263,1
2007-08-29,sand,0.48190000000000005,2929.5263518138263,1
2007-08-29,invasion,0.7588,2929.5263518138263,1
2007-08-29,sandstone,0.6099,2929.5263518138263,1
2007-08-29,grass,0.6543,2929.5263518138263,1
2007-08-29,renosterveld,0.5843,2929.5263518138263,1
2007-09-14,limestone,0.51,2929.5701574264203,1
2007-09-14,sand,0.5146000000000001,2929.5701574264203,1
2007-09-14,invasion,0.7475,2929.5701574264203,1
2007-09-14,sandstone,0.6448,2929.5701574264203,1
2007-09-14,grass,0.6552,2929.5701574264203,1
2007-09-14,renosterveld,0.5845,2929.5701574264203,1
2007-09-30,limestone,0.4727,2929.6139630390144,1
2007-09-30,sand,0.4773,2929.6139630390144,1
2007-09-30,invasion,0.5958,2929.6139630390144,1
2007-09-30,sandstone,0.5853,2929.6139630390144,1
2007-09-30,grass,0.5771000000000001,2929.6139630390144,1
2007-09-30,renosterveld,0.5049,2929.6139630390144,1
2007-10-16,limestone,0.46,2929.6577686516084,1
2007-10-16,sand,0.43510000000000004,2929.6577686516084,1
2007-10-16,invasion,0.7539,2929.6577686516084,1
2007-10-16,sandstone,0.5828,2929.6577686516084,1
2007-10-16,grass,0.5448000000000001,2929.6577686516084,1
2007-10-16,renosterveld,0.4993,2929.6577686516084,1
2007-11-01,limestone,0.4837,2929.7015742642025,1
2007-11-01,sand,0.4435,2929.7015742642025,1
2007-11-01,invasion,0.6517000000000001,2929.7015742642025,1
2007-11-01,sandstone,0.5607,2929.7015742642025,1
2007-11-01,grass,0.5022,2929.7015742642025,1
2007-11-01,renosterveld,0.46090000000000003,2929.7015742642025,1
2007-11-17,limestone,0.4358,2929.7453798767965,1
2007-11-17,sand,0.4379,2929.7453798767965,1
2007-11-17,invasion,0.6348,2929.7453798767965,1
2007-11-17,sandstone,0.5637,2929.7453798767965,1
2007-11-17,grass,0.48000000000000004,2929.7453798767965,1
2007-11-17,renosterveld,0.4298,2929.7453798767965,1
2007-12-03,limestone,0.5419,2929.789185489391,1
2007-12-03,sand,0.5056,2929.789185489391,1
2007-12-03,invasion,0.7238,2929.789185489391,1
2007-12-03,sandstone,0.6383,2929.789185489391,1
2007-12-03,grass,0.6419,2929.789185489391,1
2007-12-03,renosterveld,0.5238,2929.789185489391,1
2007-12-19,limestone,0.49760000000000004,2929.832991101985,1
2007-12-19,sand,0.4771,2929.832991101985,1
2007-12-19,invasion,0.7037,2929.832991101985,1
2007-12-19,sandstone,0.6053000000000001,2929.832991101985,1
2007-12-19,grass,0.5746,2929.832991101985,1
2007-12-19,renosterveld,0.5072,2929.832991101985,1
2008-01-01,limestone,0.47390000000000004,2929.868583162218,1
2008-01-01,sand,0.4605,2929.868583162218,1
2008-01-01,invasion,0.7209,2929.868583162218,1
2008-01-01,sandstone,0.5622,2929.868583162218,1
2008-01-01,grass,0.6014,2929.868583162218,1
2008-01-01,renosterveld,0.5284,2929.868583162218,1
2008-01-17,limestone,0.4665,2929.912388774812,1
2008-01-17,sand,0.4655,2929.912388774812,1
